subject_code,topic,stem,choice_a,choice_b,choice_c,choice_d,correct,explanation,difficulty
"AFAR","Partnership Accounting","Bea contributes land to a newly formed partnership. She acquired the land for P350,000; its fair value at the contribution date is P500,000, and the partnership assumes the unpaid P100,000 mortgage on it. Bea's capital account should be credited for:","P250,000","P350,000","P400,000","P500,000","C","Contributed noncash assets are recorded at fair value net of liabilities assumed by the partnership: P500,000 − P100,000 = P400,000.","1"
"AFAR","Partnership Accounting","Dino and Ely form a partnership. Dino contributes cash of P400,000 while Ely contributes equipment with a fair value of P200,000. They agree to have equal capital interests using the bonus method. Ely's capital credit upon formation is:","P200,000","P300,000","P400,000","P600,000","B","Total contributed capital is P600,000; equal interests give each partner P300,000. The P100,000 bonus shifts capital from Dino to Ely without recording additional assets.","2"
"AFAR","Partnership Accounting","Partners Xander and Yuri share profits as follows: salaries of P200,000 to Xander and P150,000 to Yuri; 10% interest on beginning capitals of P500,000 and P300,000, respectively; any remainder divided 60:40. Net income for the year is P900,000. Xander's total profit share is:","P368,000","P532,000","P540,000","P580,000","B","Salaries of P350,000 and interest of P80,000 leave a remainder of P470,000. Xander: P200,000 + P50,000 + (P470,000 × 60%) = P532,000.","3"
"AFAR","Partnership Accounting","Mara, the managing partner, is entitled to a bonus of 10% of net income after deducting the bonus. Net income before the bonus is P660,000. The bonus is:","P60,000","P66,000","P72,600","P73,333","A","Bonus = 10% × (P660,000 − Bonus), so 1.10 Bonus = P66,000 and Bonus = P60,000. Check: 10% × (P660,000 − P60,000) = P60,000.","2"
"AFAR","Partnership Accounting","Apol and Ben are entitled to annual salaries of P70,000 and P50,000, respectively, with any remainder shared equally. Salaries are allowed in full even when income is insufficient. Net income for the year is P100,000. Apol's profit share is:","P40,000","P58,333","P60,000","P70,000","C","Salaries total P120,000, leaving a negative remainder of P20,000 divided equally. Apol: P70,000 − P10,000 = P60,000.","2"
"AFAR","Partnership Accounting","Carla is admitted to a partnership by purchasing one-fourth of Ana's P400,000 capital interest, paying Ana P150,000 directly. The credit to Carla's capital account is:","P37,500","P100,000","P112,500","P150,000","B","A purchase of interest is a personal transaction; the partnership merely transfers one-fourth of Ana's recorded capital: P400,000 × 1/4 = P100,000. The P150,000 price goes to Ana personally.","2"
"AFAR","Partnership Accounting","Old partners Abe (capital P600,000) and Bel (capital P400,000) share profits 3:2. Cid is admitted by investing P500,000 for a 25% interest in the new total capital, with the bonus method applied. The increase in Abe's capital resulting from Cid's admission is:","P50,000","P62,500","P75,000","P125,000","C","Total capital becomes P1,500,000 and Cid is credited 25%, or P375,000, creating a P125,000 bonus to the old partners. Abe receives 3/5 × P125,000 = P75,000.","2"
"AFAR","Partnership Accounting","Dana (capital P500,000) and Edna (capital P300,000) share profits equally. Fely invests P200,000 for a 30% interest in the resulting P1,000,000 total capital, with a bonus to the new partner. Dana's capital balance after Fely's admission is:","P400,000","P437,500","P450,000","P500,000","C","Fely's credit is 30% × P1,000,000 = P300,000, so a P100,000 bonus is charged equally to the old partners. Dana: P500,000 − P50,000 = P450,000.","2"
"AFAR","Partnership Accounting","Gail retires from a partnership when her capital balance is P350,000; she is paid P410,000 and the bonus method is used. The remaining partners, Hana and Iris, share profits 60:40 between themselves. Hana's capital was P600,000 before the retirement; immediately after the retirement it is:","P540,000","P564,000","P576,000","P600,000","B","The P60,000 excess paid to Gail is a bonus charged to the remaining partners 60:40. Hana absorbs P36,000, so her capital becomes P600,000 − P36,000 = P564,000.","2"
"AFAR","Partnership Accounting","Just before a lump-sum liquidation, capital balances are: Jo P240,000, Kim P120,000 and Lou P60,000, with profits shared 5:3:2. All noncash assets with a book value of P500,000 are sold for P300,000, and all liabilities have already been paid. Cash distributed to Jo is:","P60,000","P120,000","P140,000","P150,000","C","The P200,000 realization loss is charged 50% to Jo: P240,000 − P100,000 = P140,000, which is the cash she receives.","2"
"AFAR","Partnership Accounting","After realization losses, partner Mon has a capital deficiency of P30,000, but the partnership owes him a P50,000 loan. Applying the right of offset, the amount Mon ultimately receives in liquidation is:","P0","P20,000","P30,000","P50,000","B","The partner's loan is offset against his capital deficiency: P50,000 − P30,000 = P20,000 payable to Mon.","2"
"AFAR","Partnership Accounting","Partners Nilo, Oca and Pia share profits 4:4:2. After realization of all assets and payment of creditors, capital balances are: Nilo P90,000, Oca P50,000 and Pia a P40,000 deficit. Pia is personally insolvent. Cash paid to Nilo is:","P50,000","P70,000","P74,000","P90,000","B","Pia's P40,000 deficiency is absorbed by Nilo and Oca in their 4:4 ratio, or P20,000 each. Nilo receives P90,000 − P20,000 = P70,000.","2"
"AFAR","Partnership Accounting","In an installment liquidation, capital balances are Quin P300,000 and Rey P200,000, with profits shared 60:40. Unsold noncash assets have a book value of P250,000, and P250,000 cash is available after paying all creditors. Under a safe payments schedule, Quin receives:","P150,000","P200,000","P250,000","P300,000","A","Assume the remaining P250,000 of assets are a total loss: Quin absorbs 60%, or P150,000, leaving P300,000 − P150,000 = P150,000 as his safe payment; Rey receives the other P100,000.","3"
"AFAR","Partnership Accounting","Partners Alma, Bert, Cita and Dina have capital balances of P400,000, P270,000, P160,000 and P121,000, and share profits 40%, 30%, 20% and 10%, respectively. In a cash priority program, the first cash available to partners goes to:","Alma","Bert","Cita","Dina","D","Loss absorption balances: Alma P1,000,000; Bert P900,000; Cita P800,000; Dina P1,210,000. Dina has the highest loss absorption capacity, so she is paid first.","2"
"AFAR","Partnership Accounting","Partners Aldo (capital P500,000, 50% share), Berto (P240,000, 30%) and Caloy (P160,000, 20%) prepare a cash priority program. Before Berto and Caloy receive any cash, Aldo must first receive:","P60,000","P100,000","P200,000","P500,000","B","Loss absorption balances: Aldo P1,000,000; Berto P800,000; Caloy P800,000. Aldo's P200,000 excess × his 50% profit share = P100,000 priority payment.","3"
"AFAR","Partnership Accounting","When a new partner is admitted by purchasing an interest directly from an existing partner at a price above book value:","Total partnership assets increase by the price paid","The partnership records a gain on the transfer","Total partnership capital increases by the price paid","Total partnership capital remains unchanged","D","The sale is a personal transaction between the partners; the partnership only transfers capital from the seller to the buyer, so total assets and total capital are unchanged.","1"
"AFAR","Partnership Accounting","Noncash assets contributed by a partner upon formation of a partnership should be recorded at:","Fair value at the date of contribution","The contributing partner's original acquisition cost","The carrying amount in the partner's own records","Assessed value for property tax purposes","A","Contributions in kind are measured at fair value at the date of contribution, which fairly states each partner's capital interest.","1"
"AFAR","Partnership Accounting","In the liquidation of a general partnership, the proper order of cash distribution is:","Partners' loans, outside creditors, partners' capital, partners' profits","Outside creditors, partners' capital, partners' loans, partners' profits","Partners' capital, partners' loans, outside creditors, partners' profits","Outside creditors, partners' loans, partners' capital, partners' profits","D","The Civil Code priority is: creditors other than partners first, then partners' loans, then return of capital, and finally partners' profits.","1"
"AFAR","Partnership Accounting","Dom is admitted to the partnership of Ela and Fia, whose combined capital is P1,000,000, by investing P400,000 for a 25% interest. The partners agree to use the asset revaluation approach. The upward revaluation credited to the old partners is:","P50,000","P100,000","P150,000","P200,000","D","Dom's P400,000 for 25% implies total capital of P1,600,000. Contributed capital is only P1,400,000, so assets are revalued upward by P200,000, credited to Ela and Fia.","3"
"AFAR","Partnership Accounting","A partner's capital was P300,000 on January 1. He invested an additional P120,000 on July 1 and withdrew P60,000 on October 1. The partnership pays 8% interest on weighted average capital. His interest allowance for the year is:","P24,000","P26,400","P27,600","P28,800","C","Weighted average capital = P300,000 + (P120,000 × 6/12) − (P60,000 × 3/12) = P345,000. Interest = P345,000 × 8% = P27,600.","3"
"AFAR","Partnership Accounting","The partnership agreement is silent on how profits are to be divided among the capitalist partners. Under the Philippine Civil Code, profits should be divided:","Equally among all partners","Based on the time each partner devoted to the business","Based on ending capital balances","In proportion to what each partner contributed","D","In the absence of an agreement, the Civil Code provides that each capitalist partner shares in profits in proportion to his contribution.","2"
"AFAR","Corporate Liquidation","A company in liquidation reports the following realizable values and claims: assets pledged to fully secured creditors P600,000 (claims P500,000); assets pledged to partially secured creditors P200,000 (claims P350,000); free assets P400,000; unsecured liabilities with priority P100,000; unsecured liabilities without priority P650,000. The estimated recovery percentage of unsecured creditors without priority is:","44.4%","50.0%","61.5%","76.9%","B","Net free assets = (P600,000 − P500,000) + P400,000 − P100,000 = P400,000. Total unsecured without priority = P650,000 + the P150,000 deficiency to partially secured creditors = P800,000. Recovery = P400,000 ÷ P800,000 = 50%.","3"
"AFAR","Corporate Liquidation","A creditor is owed P350,000 secured by collateral with a realizable value of P200,000. The estimated recovery percentage for unsecured claims without priority is 50%. The total amount this creditor can expect to receive is:","P175,000","P200,000","P275,000","P350,000","C","The creditor gets the P200,000 collateral plus 50% of the P150,000 unsecured deficiency (P75,000), or P275,000 in total.","3"
"AFAR","Corporate Liquidation","In a statement of affairs, the realizable value of assets pledged to fully secured creditors exceeds the related claims by P100,000. This excess is:","Added to free assets available to unsecured creditors","Retained by the secured creditor as additional protection","Distributed pro rata to partially secured creditors only","Excluded from the statement of affairs","A","Any excess of pledged collateral over a fully secured claim reverts to the estate and forms part of free assets available to unsecured creditors.","1"
"AFAR","Corporate Liquidation","Which of the following is classified as an unsecured liability with priority in corporate liquidation?","Accounts payable to trade suppliers","Notes payable with no collateral","Unpaid employee salaries within statutory limits","Bonds payable secured by a mortgage on a building","C","Administrative expenses, unpaid employee salaries within limits and taxes rank as unsecured claims with priority; they are paid in full before unsecured creditors without priority receive anything.","1"
"AFAR","Corporate Liquidation","A liquidating corporation has free assets with a realizable value of P700,000 and unsecured liabilities with priority of P160,000. Unsecured liabilities without priority total P900,000. The estimated deficiency to unsecured creditors without priority is:","P200,000","P360,000","P540,000","P900,000","B","Net free assets = P700,000 − P160,000 = P540,000. Deficiency = P900,000 − P540,000 = P360,000.","2"
"AFAR","Corporate Liquidation","In preparing its statement of affairs, a company shows: trade accounts payable (unsecured) of P600,000; a note payable of P350,000 secured by collateral with a realizable value of P200,000; and taxes payable of P80,000. Total unsecured liabilities without priority amount to:","P600,000","P680,000","P750,000","P830,000","C","P600,000 trade payables + the P150,000 deficiency on the partially secured note = P750,000. Taxes are unsecured with priority and are excluded.","2"
"AFAR","Corporate Liquidation","Net free assets of a liquidating company are P780,000 and unsecured claims without priority total P1,200,000. A supplier with an unsecured claim of P200,000 and no collateral can expect to receive:","P70,000","P130,000","P160,000","P200,000","B","The recovery rate is P780,000 ÷ P1,200,000 = 65%, so the supplier expects P200,000 × 65% = P130,000.","2"
"AFAR","Corporate Liquidation","In a statement of realization and liquidation, the caption assets to be realized represents:","The estimated realizable value of all assets","The proceeds expected from future asset sales","Assets acquired by the trustee during the period","The book value of noncash assets on hand at the start of the period","D","Assets to be realized are the noncash assets at the beginning of the period stated at book value; new acquisitions appear as assets acquired and sales as assets realized.","2"
"AFAR","Corporate Liquidation","A statement of affairs differs from a going-concern statement of financial position primarily because assets are measured at:","Historical cost less accumulated depreciation","Fair value less costs to sell under PFRS 5","General price-level adjusted amounts","Estimated realizable values","D","The statement of affairs is a liquidation-oriented report, so assets are shown at the amounts expected to be realized rather than at going-concern carrying amounts.","2"
"AFAR","Corporate Liquidation","A bank loan of P400,000 is secured by equipment with an estimated realizable value of P450,000. In the statement of affairs, the bank is classified as a:","Fully secured creditor","Partially secured creditor","Unsecured creditor with priority","Unsecured creditor without priority","A","The collateral's realizable value of P450,000 covers the entire P400,000 claim, so the creditor is fully secured; the P50,000 excess joins free assets.","1"
"AFAR","Corporate Liquidation","Free assets have a realizable value of P600,000, and assets pledged to fully secured creditors exceed the related claims by P80,000. Unsecured liabilities with priority consist of administrative expenses of P70,000, salaries of P50,000 and taxes of P60,000. Net free assets available to unsecured creditors without priority are:","P420,000","P500,000","P600,000","P680,000","B","Total free assets = P600,000 + P80,000 excess = P680,000. Less priority claims of P180,000 gives net free assets of P500,000.","2"
"AFAR","Joint Arrangements","Under PFRS 11, joint control exists only when:","a majority of the parties agree on the relevant activities","one party owns more than 50% of the voting rights","decisions about the relevant activities require the unanimous consent of the parties sharing control","the arrangement is structured through a separate vehicle","C","PFRS 11 defines joint control as the contractually agreed sharing of control where decisions about the relevant activities require the unanimous consent of the parties sharing control.","1"
"AFAR","Joint Arrangements","A joint arrangement that is NOT structured through a separate vehicle is classified as:","a joint operation","a joint venture","an associate","a subsidiary","A","PFRS 11 provides that when a joint arrangement is not structured through a separate vehicle, it is always a joint operation; the parties have direct rights to the assets and obligations for the liabilities.","1"
"AFAR","Joint Arrangements","In a joint operation, each joint operator recognizes in its financial statements:","its share of the net assets using the equity method","only a single-line investment measured at fair value","nothing until the arrangement distributes cash","its share of the assets, liabilities, revenues, and expenses relating to its interest","D","A joint operator recognizes its assets, its liabilities, its revenue, and its expenses (including its share of those held or incurred jointly) in accordance with the applicable PFRSs.","1"
"AFAR","Joint Arrangements","Under current PFRS 11, a joint venturer accounts for its interest in a joint venture using:","proportionate consolidation","the cost method","the equity method","fair value through profit or loss only","C","A joint venturer recognizes its interest as an investment accounted for using the equity method under PAS 28; proportionate consolidation is no longer permitted.","1"
"AFAR","Joint Arrangements","The classification of a joint arrangement structured through a separate vehicle depends on all of the following EXCEPT:","the legal form of the separate vehicle","the terms of the contractual arrangement","the relative percentage ownership of each party considered in isolation","other facts and circumstances","C","Classification depends on the legal form, the contractual terms, and other facts and circumstances; relative ownership percentage alone is not a determining factor for classification.","2"
"AFAR","Joint Arrangements","Andrea contributed P5,000,000 cash for a 40% interest in JV Corp, a joint venture. In its first year, JV Corp reported profit of P3,000,000 and declared dividends of P800,000. Andrea's carrying amount of the investment at year-end is:","P5,000,000","P6,200,000","P6,520,000","P5,880,000","D","Equity method: P5,000,000 + (40% × P3,000,000) − (40% × P800,000) = P5,000,000 + P1,200,000 − P320,000 = P5,880,000.","2"
"AFAR","Joint Arrangements","Bravo Inc. holds a 30% interest in a joint venture acquired for P4,000,000. The venture incurred a loss of P2,000,000 in the year. The investment balance after applying the equity method is:","P3,400,000","P3,700,000","P4,000,000","P4,600,000","A","Equity method: P4,000,000 − (30% × P2,000,000) = P4,000,000 − P600,000 = P3,400,000.","2"
"AFAR","Joint Arrangements","A party that participates in a joint operation but does NOT have joint control, yet has rights to the assets and obligations for the liabilities, shall:","account for its interest using the equity method","recognize the interest at fair value under PFRS 9 only","not recognize any interest","account for its interest in the same way as a joint operator","D","Under PFRS 11, a party that participates in a joint operation without having joint control still accounts for its interest as a joint operator if it has rights to the assets and obligations for the liabilities.","2"
"AFAR","Joint Arrangements","Charlie Corp acquired a 25% interest in a joint venture for P6,000,000. The venture earned P4,800,000 profit and paid P1,200,000 dividends during the year. The investment income reported by Charlie under the equity method is:","P1,200,000","P300,000","P900,000","P1,500,000","A","Equity-method investment income equals the investor's share of the venture's profit: 25% × P4,800,000 = P1,200,000. Dividends reduce the carrying amount but are not income.","2"
"AFAR","Joint Arrangements","Delta and Echo jointly own and operate a pipeline as a joint operation, sharing output 60:40. Total operating costs for the year were P10,000,000. Delta recognizes operating expenses of:","P4,000,000","P5,000,000","P6,000,000","P10,000,000","C","As a joint operator, Delta recognizes its share of the jointly incurred expenses: 60% × P10,000,000 = P6,000,000.","1"
"AFAR","Joint Arrangements","A party that holds an interest in a joint venture but does NOT have joint control and has no significant influence accounts for that interest under:","PAS 28 using the equity method","PFRS 9 as a financial asset","PFRS 11 as a joint operator","proportionate consolidation","B","Without joint control or significant influence, the interest in a joint venture is accounted for as a financial asset in accordance with PFRS 9.","2"
"AFAR","Joint Arrangements","Foxtrot Corp acquired a 35% interest in a joint venture for P8,000,000 on January 1. The venture reported profit of P6,000,000 for the year and declared no dividends. On December 31, the carrying amount of Foxtrot's investment is:","P8,000,000","P9,400,000","P10,100,000","P14,000,000","C","Equity method: P8,000,000 + (35% × P6,000,000) = P8,000,000 + P2,100,000 = P10,100,000.","2"
"AFAR","Joint Arrangements","Which statement best distinguishes a joint operation from a joint venture under PFRS 11?","A joint operation always uses a separate vehicle while a joint venture never does","In a joint operation the parties have rights to the net assets, while in a joint venture they have rights to individual assets","Both are accounted for identically using the equity method","In a joint operation the parties have rights to the assets and obligations for the liabilities, while in a joint venture they have rights to the net assets","D","A joint operation gives the parties rights to the assets and obligations for the liabilities of the arrangement; a joint venture gives the parties rights only to the net assets of the arrangement.","1"
"AFAR","Installment Sales & Long-Term Construction","Golf Co. sells goods costing P450,000 for P600,000 on the installment basis. The gross profit rate based on sales is:","20%","25%","33.3%","75%","B","Gross profit = P600,000 − P450,000 = P150,000. Gross profit rate on sales = P150,000 ÷ P600,000 = 25%.","1"
"AFAR","Installment Sales & Long-Term Construction","Hotel Inc. had installment sales of P900,000 with a gross profit rate of 30%. Collections during the year totaled P540,000. Realized gross profit for the year is:","P108,000","P270,000","P378,000","P162,000","D","Realized gross profit = collections × gross profit rate = P540,000 × 30% = P162,000.","1"
"AFAR","Installment Sales & Long-Term Construction","India Corp made installment sales of P1,200,000 during the year at a 40% gross profit rate. By year-end, P700,000 had been collected. The deferred gross profit balance at year-end is:","P200,000","P280,000","P480,000","P500,000","A","Uncollected balance = P1,200,000 − P700,000 = P500,000. Deferred gross profit = P500,000 × 40% = P200,000.","2"
